#{"t_start": 1721925638.3024893, "env_id": "LunarLander-v2"}
r,l,t
-151.833997,247,673.150944
-41.039729,209,678.58638
11.118386,179,682.353437
-20.750103,192,686.365199
-71.766309,163,689.80554
-166.097221,266,695.397201
-23.436437,197,699.564958
-69.469908,248,704.778965
15.942981,205,709.089354
-19.434295,205,713.487065
-42.694874,185,717.349789
-247.215206,314,725.19638
-197.386143,281,731.107185
-103.475853,284,737.084857
-181.473999,316,743.727054
18.306298,261,749.275779
19.177631,207,753.66085
-1.026962,154,756.922233
61.209124,1000,779.025549
-68.582498,177,782.768357
-82.018963,141,785.746178
-35.428401,235,790.689065
21.365522,210,795.098994
-57.466846,245,800.253065
-58.664327,411,809.853209
-61.332516,194,813.925965
-118.39101,309,820.382081
5.336389,169,823.972755
-146.706597,199,828.15915
-30.827424,215,832.696548
-68.923844,358,840.1689
-36.758029,317,846.862229
-33.913237,166,850.380983
56.736505,1000,872.3657
6.725806,179,876.125938
88.718772,1000,898.155573
111.167604,1000,919.047001
3.299602,340,926.229373
0.048221,307,932.689857
-22.521377,202,936.955915
-44.955656,370,945.923422
106.624025,1000,966.851094
-113.221571,292,973.044079
-23.018705,331,979.982301
114.338047,1000,1002.069625
9.381401,194,1006.195067
115.512203,1000,1027.056219
-10.129704,291,1034.277521
-53.639858,178,1038.00044
85.908682,1000,1058.943089
109.995013,1000,1080.923374
106.235658,1000,1101.864011
9.537682,196,1105.976959
-13.496389,181,1109.747376
-21.617856,156,1113.045666
-16.671114,236,1119.104023
56.482476,149,1122.248172
-4.25408,214,1126.763843
-9.692579,199,1130.987023
-10.259989,225,1135.763269
17.916539,200,1139.943152
-31.718316,174,1143.59591
36.535917,220,1148.254931
76.645916,1000,1170.318014
153.987269,1000,1191.282256
8.504542,195,1195.428939
-16.38611,237,1200.419226
-18.480202,224,1206.384364
172.23426,1000,1227.349404
65.822125,1000,1249.544715
-152.699885,315,1256.146275
55.04705,1000,1277.113467
188.307079,1000,1299.315826
89.312574,1000,1320.259703
-2.125136,237,1325.253316
104.639815,1000,1347.292025
102.014907,1000,1368.192904
105.105997,1000,1390.311239
21.326165,191,1394.415414
57.926433,1000,1415.503626
137.631805,1000,1437.597828
121.064955,1000,1458.563562
134.543141,1000,1480.709484
-25.121487,236,1485.70571
14.376716,244,1490.845851
107.409162,1000,1511.971422
-82.935147,349,1520.731476
-36.664875,257,1526.117241
27.477764,195,1530.235111
89.495989,1000,1551.14565
14.934774,209,1555.541542
24.613645,256,1562.193732
-32.031101,189,1566.226454
